permutation_index,master_seed,permutation_eligible_identities,structurally_fixed_identities,actually_reassigned_identities,all_2300_destination_rows_filled_once,all_2300_source_rows_used_once,category_preserved,block_size_preserved,singleton_strata_fixed,macro_f1_L,macro_f1_L_plus_G_permuted,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G_permuted,delta_balanced_accuracy,max_iterations_L_plus_G,converged_L_plus_G
99,20260822,228,2,196,True,True,True,True,True,0.7380200305882273,0.7557864571421634,0.01776642655393612,0.7417391304347827,0.7595652173913044,0.01782608695652177,33,True
100,20260822,228,2,211,True,True,True,True,True,0.7380200305882273,0.7493201449426188,0.011300114354391488,0.7417391304347827,0.752608695652174,0.010869565217391353,37,True
101,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7554601126298475,0.017440082041620175,0.7417391304347827,0.7586956521739132,0.016956521739130537,38,True
102,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7509508083223481,0.012930777734120769,0.7417391304347827,0.7552173913043478,0.013478260869565162,34,True
103,20260822,228,2,198,True,True,True,True,True,0.7380200305882273,0.7495590371596667,0.011539006571439359,0.7417391304347827,0.7530434782608696,0.011304347826086913,35,True
104,20260822,228,2,203,True,True,True,True,True,0.7380200305882273,0.7417709428210597,0.003750912232832415,0.7417391304347827,0.7460869565217392,0.004347826086956497,40,True
105,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7525836880432202,0.014563657454992884,0.7417391304347827,0.7560869565217392,0.014347826086956506,36,True
106,20260822,228,2,196,True,True,True,True,True,0.7380200305882273,0.745311251198457,0.007291220610229687,0.7417391304347827,0.7491304347826088,0.007391304347826089,33,True
107,20260822,228,2,207,True,True,True,True,True,0.7380200305882273,0.7504478743551267,0.012427843766899427,0.7417391304347827,0.7539130434782608,0.012173913043478146,33,True
108,20260822,228,2,213,True,True,True,True,True,0.7380200305882273,0.7515102598588406,0.013490229270613274,0.7417391304347827,0.754782608695652,0.013043478260869268,34,True
109,20260822,228,2,204,True,True,True,True,True,0.7380200305882273,0.7523398078693042,0.014319777281076917,0.7417391304347827,0.7565217391304349,0.014782608695652177,36,True
110,20260822,228,2,206,True,True,True,True,True,0.7380200305882273,0.7417195510062148,0.0036995204179874897,0.7417391304347827,0.7452173913043478,0.003478260869565153,33,True
