bootstrap_rep,n_rows,macro_f1_M,macro_f1_M_plus_G,delta_macro_f1_G_given_M,balanced_accuracy_M,balanced_accuracy_M_plus_G,delta_balanced_accuracy_G_given_M
743,2299,0.29751890086525085,0.326225839918387,0.02870693905313615,0.2971190162494511,0.3280368906455863,0.030917874396135192
744,2300,0.28308721454574237,0.3045982423979613,0.021511027852218922,0.2817391304347826,0.3030434782608696,0.021304347826086978
745,2298,0.2879820521676017,0.30881706377698687,0.020835011609385168,0.2903460514640639,0.30865128660159713,0.018305235137533238
746,2303,0.2915115963341623,0.30860598543662277,0.017094389102460472,0.2921654706627268,0.30862389193752643,0.01645842127479963
747,2301,0.29658775376964347,0.31315912183110406,0.01657136806146059,0.30027550581145074,0.315467068445975,0.015191562634524258
748,2300,0.29717515231275826,0.32724547997457043,0.03007032766181217,0.2965217391304348,0.32826086956521744,0.03173913043478266
749,2299,0.2970613044660778,0.3200702126462211,0.023008908180143284,0.298423364075538,0.3162714097496706,0.017848045674132618
750,2299,0.27121155109420164,0.3042977680845376,0.03308621699033598,0.2736627140974967,0.30672815107597723,0.03306543697848052
751,2301,0.2940524923852297,0.32265725288891206,0.02860476050368238,0.2951312957382695,0.32205337925096855,0.026922083512699035
752,2298,0.28571114671469783,0.3295862785047355,0.04387513179003766,0.2860070984915706,0.32910381543921924,0.04309671694764866
753,2302,0.2954432455832748,0.3213229500262629,0.025879704442988094,0.3005541346973572,0.32397271952259166,0.023418584825234456
754,2300,0.29809419192072484,0.3207242803195701,0.022630088398845283,0.30043478260869566,0.322608695652174,0.02217391304347832
755,2301,0.2825177684963868,0.32082527674887656,0.03830750825248974,0.2824408092983211,0.32112354713732244,0.038682737839001335
756,2297,0.278611002993982,0.30496835925424387,0.026357356260261866,0.27871806364858803,0.3049798296727925,0.02626176602420449
757,2302,0.29435133503424976,0.3141576538106021,0.01980631877635236,0.29752770673486784,0.3166069906223359,0.019079283887468046
758,2302,0.27994959277546805,0.3163038765957342,0.036354283820266176,0.2814322250639386,0.315694799658994,0.034262574595055384
759,2302,0.32426037172604316,0.33465806001723697,0.010397688291193807,0.32670929241261726,0.3354134697357204,0.008704177323103135
760,2299,0.30789632508943476,0.33566091032112416,0.027764585231689398,0.3080105401844532,0.3354457619675011,0.027435221783047914
761,2299,0.2995256234324331,0.3344268413165635,0.034901217884130364,0.2997233201581027,0.33281949934123845,0.03309617918313573
762,2300,0.2902743080420732,0.32517119409106743,0.03489688604899421,0.29260869565217396,0.3265217391304348,0.03391304347826085
763,2299,0.28914461154389676,0.32192944651388883,0.03278483496999207,0.2910232762406676,0.32281071585419413,0.031787439613526536
764,2298,0.3014385901929726,0.3270337261052056,0.025595135912233002,0.30117125110913934,0.32559893522626443,0.024427684117125092
765,2301,0.2765975211568988,0.3029494738786328,0.026351952721734018,0.27595781317262164,0.3002884201463624,0.024330606973740787
766,2299,0.30378840199779683,0.3359668777241485,0.032178475726351685,0.306258234519104,0.3376021080368906,0.03134387351778661
767,2301,0.2885282547813758,0.3240709680772778,0.03554271329590203,0.2890228153250108,0.32508394317692646,0.036061127851915675
768,2303,0.2885334200081292,0.3137544084836748,0.025220988475545603,0.2887885183621781,0.31083579569438585,0.022047277332207738
769,2301,0.30003749303553207,0.3095881430258002,0.009550649990268112,0.3011149375807146,0.30934997847610857,0.008235040895393952
770,2298,0.29208202216993123,0.31004653870797677,0.01796451653804554,0.2937976929902396,0.31082519964507543,0.017027506654835822
