bootstrap_rep,n_rows,macro_f1_L,macro_f1_L_plus_G,delta_macro_f1_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G,delta_balanced_accuracy_G_given_L
8767,2301,0.7124268984589415,0.7131661549380045,0.0007392564790630329,0.7179896685320707,0.7179810589754628,-8.609556607863666e-06
8768,2299,0.7396458705185623,0.7339756261654317,-0.005670244353130682,0.7420685111989459,0.7368642951251647,-0.005204216073781187
8769,2300,0.7438525160445827,0.7417137027792341,-0.0021388132653485936,0.7504347826086956,0.7491304347826088,-0.0013043478260867936
8770,2300,0.7456393675183647,0.7437929622149223,-0.0018464053034423777,0.7491304347826088,0.7465217391304347,-0.002608695652174031
8771,2301,0.7468948361767154,0.7527895397008366,0.0058947035241212475,0.7527507533362031,0.7588334050796384,0.006082651743435252
8772,2299,0.7172174222526205,0.7144304576522365,-0.0027869646003840787,0.7242028985507245,0.7216117698726394,-0.002591128678085086
8773,2298,0.7374175155707472,0.7365920575418932,-0.0008254580288540314,0.7389707187222716,0.7385270629991127,-0.0004436557231588534
8774,2300,0.730819121948131,0.7304097912788541,-0.0004093306692769527,0.7478260869565219,0.7469565217391306,-0.0008695652173912327
8775,2301,0.7441284191641337,0.744467871835823,0.0003394526716892221,0.7492638829100301,0.7505639259578132,0.0013000430477830838
8776,2297,0.756398344163575,0.7592286128487361,0.002830268685161119,0.7620394441954282,0.7637785746302106,0.0017391304347823544
8777,2300,0.72209877591339,0.7302117170984096,0.008112941185019595,0.7256521739130435,0.7326086956521738,0.006956521739130306
8778,2297,0.7408157955495583,0.744543224750548,0.0037274292009896737,0.749430748543254,0.7516046615867323,0.0021739130434783593
8779,2299,0.713133180317768,0.7190945324673889,0.005961352149620902,0.7185507246376813,0.7246464646464648,0.006095740008783435
8780,2297,0.7462509768444285,0.7408739582072953,-0.005377018637133246,0.751429852084267,0.746647243388615,-0.0047826086956520575
8781,2300,0.7239799163460647,0.7175248636764721,-0.006455052669592676,0.728695652173913,0.7221739130434782,-0.006521739130434745
8782,2300,0.7259445132069253,0.7252820926761837,-0.0006624205307416142,0.733913043478261,0.7321739130434782,-0.0017391304347827985
8783,2300,0.770247112589553,0.7661329310197736,-0.004114181569779385,0.7704347826086956,0.766086956521739,-0.004347826086956608
8784,2298,0.6987438213527798,0.7071587817617019,0.00841496040892209,0.7063708961845607,0.7133274179236914,0.006956521739130639
8785,2299,0.7456615912074355,0.7500440648412529,0.004382473633817385,0.748994290733421,0.7537768994290733,0.0047826086956522795
8786,2300,0.74304579075922,0.74092067699194,-0.0021251137672799736,0.7478260869565219,0.7456521739130434,-0.0021739130434784704
8787,2301,0.7581646876435216,0.7594355974821889,0.001270909838667289,0.7618553594489884,0.7627206198880757,0.0008652604390873009
