row_index,relative_path,category,garment_id,rotation_deg,shell_index,reference_R2,rotated_R2,shell_mass_fraction,E_abs,E_rel,E_sym,R2_stratum
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,14,0.10214683154126378,0.08457858568619972,0.023931955959476177,0.017568245855064057,0.17199012039807712,0.18817198125376716,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,15,0.07450705442440048,0.0724426931899694,0.030091291057974423,0.0020643612344310724,0.027706923195114398,0.028096152160103516,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,16,0.0739436489508728,0.05346001467043905,0.02991238920864045,0.020483634280433746,0.27701681714467197,0.32155487053054077,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,17,0.15542640597542928,0.1690177520815765,0.02812337071530071,0.013591346106147206,0.08744554067791933,0.08378234447210585,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,18,0.21484711956929106,0.17799942945693448,0.041132090902585385,0.036847690112356585,0.17150655864610143,0.18759329923448925,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,19,0.07443027764601468,0.099649353130298,0.04127521238205257,0.02521907548428333,0.33882817963172907,0.28974183104385276,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,20,0.2957449617591653,0.3203198809053552,0.04664737934348133,0.024574919146189866,0.0830949714240678,0.07978030052778776,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,21,0.46963194031200134,0.47141766581643757,0.06177225283431644,0.0017857255044362308,0.003802393643093949,0.0037951782622445657,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,22,0.5463850089372566,0.55544353003039,0.06725176090534558,0.009058521093133431,0.016579007375683057,0.016442705507738565,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,23,0.47160528449882316,0.4362419602290266,0.0508796859505822,0.03536332426979655,0.0749850042655423,0.07790589105196348,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,24,0.31749873516110394,0.3025301536068548,0.04151545200830105,0.014968581554249127,0.04714532656847855,0.04828349718992209,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,25,0.24410041252640183,0.2254432456535409,0.039634426849589545,0.018657166872860925,0.07643234470504212,0.07946935944223087,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,26,0.1827698000729547,0.17454522525978186,0.033699996933111154,0.008224574813172847,0.04499963784985217,0.04603542661277125,"[0.10,0.20)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,27,0.09972723653689057,0.048053425920749425,0.025506292233615148,0.051673810616141146,0.5181514339568233,0.6993311541143346,"[0.05,0.10)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-45.0,3,0.20548131571553915,0.2114300308554849,0.012809372412312536,0.005948715139945743,0.028950151108536444,0.02853707479478414,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-45.0,4,0.35262917308647496,0.33269270138165247,0.01097946206769646,0.01993647170482249,0.05653664876993454,0.05818133769710771,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-45.0,5,0.4922783279201662,0.49099716012903566,0.011270816508040361,0.001281167791130522,0.002602527307150299,0.002605918293910351,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-45.0,6,0.545466929353268,0.5484045242570323,0.012149991310481605,0.002937594903764329,0.0053854683862269775,0.005371005695539191,"[0.40,0.60)"
