bootstrap,hog_macro_f1,hog_ra14_macro_f1,delta_macro_f1,hog_balanced_accuracy,hog_ra14_balanced_accuracy,delta_balanced_accuracy
2641,0.6311594037767118,0.632355049349715,0.0011956455730032234,0.6370768861517092,0.6379257474353529,0.0008488612836436982
2642,0.6223966081437597,0.623323907844903,0.0009272997011432471,0.6310528907911929,0.6326077156196749,0.0015548248284820154
2643,0.6536591825628079,0.6554051757593421,0.0017459931965342346,0.6599990625162703,0.6616967850835579,0.0016977225672876184
2644,0.6565939276048453,0.6614168424729361,0.004822914868090833,0.6693772478103793,0.675564538780279,0.0061872909698996725
2645,0.6639251501275464,0.6643220413048817,0.0003968911773353234,0.6700420290421187,0.67051757987438,0.00047555083226125117
2646,0.6347841683610284,0.634790686048386,6.517687357598945e-06,0.6431296245926584,0.643277845936532,0.0001482213438736002
2647,0.6128421386767868,0.6130408621629637,0.0001987234861768883,0.630446867187034,0.6305014420299384,5.4574842904386855e-05
2648,0.6479901622707012,0.6496849957877892,0.0016948335170879902,0.6523040423544012,0.6535383153278047,0.0012342729734035052
2649,0.6201295121444147,0.6204744222684198,0.00034491012400506005,0.631457229364838,0.6319900902237857,0.0005328608589477701
2650,0.630304856954716,0.6279501728596308,-0.0023546840950852133,0.6438326819528865,0.6416553182537836,-0.002177363699102819
2651,0.6319216919208054,0.632903557702779,0.0009818657819735677,0.6398647771170524,0.6407584969238155,0.0008937198067631158
2652,0.6497645801357959,0.6525301369491557,0.002765556813359882,0.6655475228025769,0.6683943136928461,0.0028467908902691796
2653,0.6238871342660514,0.6241849431545642,0.0002978088885128294,0.6383518579578265,0.6388659573849694,0.0005140994271429777
2654,0.6520462983142244,0.6563121452733934,0.004265846959168984,0.6611628337993997,0.666534201562072,0.00537136776267233
2655,0.6253365086444104,0.6286964810970936,0.0033599724526832686,0.6449245453664169,0.647541602222604,0.002617056856187183
2656,0.6372776507991974,0.6374090852333654,0.00013143443416796519,0.6465068806267124,0.6467504776094397,0.00024359698272735653
2657,0.6051446090671034,0.6067422893787987,0.001597680311695271,0.6192903395269124,0.6209273619248044,0.0016370223978919851
2658,0.6204641962886229,0.6221826348259869,0.0017184385373639754,0.6297132173027313,0.6311383380756783,0.0014251207729469861
2659,0.6450585188567282,0.6450544884666991,-4.0303900290528105e-06,0.6539889565955752,0.6540251884796333,3.623188405810218e-05
2660,0.6468947849441908,0.6444038207975791,-0.0024909641466117627,0.6530470751810242,0.6503779930554204,-0.0026690821256037944
2661,0.6247789710223962,0.6262055204340596,0.0014265494116634247,0.6417184687293382,0.6431073576182272,0.001388888888888995
2662,0.6488144887347006,0.6491263628161228,0.0003118740814221921,0.6674286692461479,0.667083603683691,-0.0003450655624568366
2663,0.6565389388825765,0.6550457432648774,-0.0014931956176991168,0.6602253062143291,0.6584492561774093,-0.0017760500369197185
2664,0.6565977059843676,0.6582961505191159,0.0016984445347483224,0.6713656943470607,0.6726888639311,0.0013231695840392188
2665,0.6301920175830332,0.6282211858060623,-0.0019708317769708827,0.6429365597580169,0.6408265853334645,-0.0021099744245524077
2666,0.6509152364882336,0.6528314458853878,0.0019162093971542005,0.6596453427549837,0.6615916693752232,0.0019463266202395246
2667,0.647884677752277,0.6464797199949539,-0.0014049577573230776,0.6621185328673228,0.6601378565388203,-0.0019806763285025175
2668,0.627745681004228,0.6304231850000619,0.0026775039958338853,0.6401843334591479,0.6427855969299765,0.002601263470828563
