replicate,delta_macro_f1,delta_balanced_accuracy
531,0.03413141351154325,0.032634022794428064
532,0.028150217627255447,0.02783926218708821
533,0.04082258798123728,0.04226255804136769
534,0.03976304171543482,0.04014196983141083
535,0.056214021489920274,0.05743522178304794
536,0.05600119460284747,0.05924901185770748
537,0.04172727459600056,0.040000000000000036
538,0.04759372765228398,0.04652173913043478
539,0.04499657315952127,0.04727507533362041
540,0.03523184539417862,0.035244285073957826
541,0.0369136499228942,0.03607843137254907
542,0.04825253996116896,0.04776582006026686
543,0.045027944935030095,0.04392621870882746
544,0.03760822454088614,0.037852437417654705
545,0.054410587053186965,0.05639386189258305
546,0.03963623446795017,0.03996589940323958
547,0.04143576536184462,0.04260439087386997
548,0.03243555736155079,0.030443392165303507
549,0.04785091165007743,0.047826086956521796
550,0.02531059380358519,0.02480456741326298
551,0.03236731351168104,0.031231166594920368
552,0.057851104827395694,0.05805468399820707
553,0.05308350214734525,0.052191480017567016
554,0.045517945196656306,0.044853593611357545
555,0.05719252827052801,0.05608695652173917
556,0.03439480419590507,0.033439517864829904
557,0.049697839084710094,0.046521739130434836
558,0.055301465871947175,0.05906586310805001
559,0.06398258150182762,0.061691777873439546
560,0.04429212042355385,0.04521739130434782
561,0.04284921313247453,0.042539819199311324
562,0.05289494156552482,0.05260869565217391
563,0.045874446089309406,0.04864399483426601
564,0.04107327540199973,0.040784313725490295
565,0.039826650809342834,0.03869565217391302
566,0.04014363757858702,0.041739130434782556
567,0.05460349290637573,0.05697408871321913
568,0.05326358576258655,0.05043478260869563
569,0.027490435874741537,0.02649160568230735
570,0.0571187571493072,0.05869565217391309
571,0.051789099757864665,0.051304347826087005
572,0.03458730839883678,0.034782608695652195
573,0.04244693744654149,0.042173913043478284
574,0.04005373756744113,0.03919191919191917
575,0.049391798697793976,0.04968056787932562
576,0.039742985693849764,0.03956521739130431
577,0.03404809917523499,0.03303495311167948
578,0.06408619760129536,0.06620114185331571
579,0.03473973543865683,0.03304347826086956
580,0.046625787491004766,0.04920509442248572
581,0.03455377580328339,0.032626262626262614
582,0.037826288534466235,0.039982780886784364
583,0.030935774754463685,0.028682205289108142
584,0.04524829852419715,0.04434782608695659
585,0.03702073484162305,0.03786157941437446
586,0.027210000389891797,0.024339042599912153
587,0.05980132218476275,0.056939302625914734
588,0.031612889600567795,0.032147293700088786
589,0.0359342416106479,0.03469396369776273
590,0.053847332458753616,0.05480922803904176
591,0.05053713737413612,0.05130434782608695
592,0.05380884870597846,0.05657444005270096
593,0.04632203770751947,0.04516624040920719
594,0.046221928165705195,0.04478260869565215
595,0.04895452624737012,0.049517864829961344
596,0.02867902752440271,0.028695652173913067
597,0.04707115571877457,0.04831796223100571
598,0.04175933872960491,0.04050065876152831
599,0.046821707670901214,0.04966183574879213
600,0.04207183471224127,0.04158716758125788
601,0.03093391520769334,0.029121909633418652
602,0.05210162201475527,0.053984028393966266
603,0.0698919282466976,0.06834870443566093
604,0.046714370605500655,0.04560780834072764
605,0.04611789427921126,0.04364685004436564
606,0.05195838118274959,0.052231005709266476
607,0.04048820038574319,0.039130434782608636
608,0.03331052302621895,0.03176108915239351
609,0.05693278810204466,0.057318123116659514
610,0.04162994212360388,0.043913043478260805
611,0.031381082299938634,0.03565217391304343
612,0.04454480221050755,0.044782608695652204
613,0.039271742308023994,0.03739130434782606
614,0.0573867276372898,0.06130434782608701
615,0.029344206717189014,0.02778346121057118
616,0.041828154357908154,0.04292950612072599
617,0.05677803444263263,0.055652173913043446
618,0.06002486458481693,0.06000860955660775
619,0.0382275843171514,0.03906223358908778
620,0.04852143812745241,0.04826086956521736
621,0.0388747018097928,0.03831357048748346
622,0.04348762945490986,0.046086956521739164
623,0.044547080636336556,0.04484409310496268
624,0.050370493728884524,0.05214808437365476
625,0.014824064061539188,0.011726216099870845
626,0.04213823174080311,0.04086956521739127
627,0.05227850795687006,0.04999999999999999
628,0.04686727092305082,0.0448265261308739
629,0.03285876660091436,0.03304347826086962
630,0.03147162376119056,0.029987085665088287
631,0.049838242555266976,0.048695652173913084
632,0.027689377197879506,0.028309178743961383
633,0.043864988067806976,0.043275643731532365
634,0.052365658323626996,0.05173913043478262
635,0.034322121251529725,0.03391304347826085
636,0.045624973664570356,0.04695652173913051
637,0.036581265997094436,0.03795031055900622
