permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
236,0.056307938748957065,0.05478260869565221,20
237,0.05042029116989272,0.04826086956521741,20
238,0.05217374150346904,0.050434782608695605,20
239,0.06278990363882675,0.06260869565217386,20
240,0.05231563627966629,0.051739130434782565,20
241,0.042120281553235384,0.04043478260869571,20
242,0.05649689107955941,0.053913043478260814,20
243,0.04619178678698299,0.04521739130434782,20
244,0.04945109999347125,0.04739130434782607,20
245,0.05566959497491136,0.05434782608695643,20
246,0.051036196112986154,0.04999999999999993,20
247,0.034789997493283265,0.035217391304347756,20
248,0.04853736048817914,0.04782608695652174,20
249,0.04777551362536947,0.04652173913043478,20
250,0.04682859215973778,0.04521739130434782,20
251,0.043310666150901456,0.04217391304347823,20
252,0.048321190458870955,0.047826086956521685,20
253,0.04017527636982876,0.038260869565217404,20
254,0.035349023668603596,0.03434782608695647,20
255,0.05479268071341509,0.05217391304347824,20
256,0.049007621907175114,0.0469565217391304,20
257,0.05130803763788272,0.04999999999999999,20
258,0.05172092584330229,0.04999999999999993,20
259,0.03562826631243332,0.03434782608695641,20
260,0.033864643199630395,0.0317391304347826,20
261,0.04692172124345584,0.04608695652173911,20
262,0.038637439474566715,0.03739130434782606,20
263,0.04729156173449456,0.04565217391304344,20
264,0.05333622207931321,0.052608695652173854,20
265,0.043185098820126167,0.04217391304347817,20
266,0.045489607526200404,0.04434782608695642,20
267,0.04976561243429767,0.04782608695652163,20
268,0.05305748097296248,0.053043478260869525,20
269,0.036425061880433485,0.03565217391304343,20
270,0.06365730184085727,0.06260869565217392,20
271,0.05081291019596168,0.04956521739130432,20
272,0.04828669130055269,0.04782608695652174,20
273,0.03714708677345335,0.03521739130434781,20
274,0.04824174151554622,0.046521739130434725,20
275,0.04726601690351229,0.04565217391304349,20
276,0.05064092300256495,0.04956521739130426,20
277,0.032945136284151744,0.0317391304347826,20
278,0.033190583645040406,0.03304347826086951,20
279,0.03820376007987952,0.03782608695652179,20
280,0.043315704020221724,0.042608695652173845,20
281,0.04158970535784334,0.039130434782608636,20
282,0.0541908557189435,0.052608695652173854,20
283,0.02934655587713092,0.026956521739130435,20
284,0.05129545927425999,0.04999999999999999,20
285,0.04872370782810925,0.04826086956521736,20
286,0.04374242601674072,0.04304347826086946,20
287,0.04245324128772643,0.040434782608695596,20
288,0.060362465512333485,0.06043478260869567,20
289,0.05706474747146151,0.05521739130434783,20
290,0.041979735941548524,0.04304347826086952,20
291,0.0504572097747189,0.04956521739130432,20
292,0.049497328608272495,0.047826086956521685,20
293,0.05603548665782754,0.054347826086956486,20
294,0.03914958597889201,0.036956521739130443,20
295,0.0542099373751293,0.05173913043478251,20
296,0.04153323225359673,0.040434782608695596,20
297,0.03490687250583563,0.03565217391304348,20
298,0.04790297856267706,0.04782608695652174,20
299,0.047291268369035355,0.04652173913043478,20
300,0.04858440678284576,0.046086956521739164,20
301,0.039047979278781564,0.03695652173913033,20
302,0.04944217786366689,0.04826086956521736,20
303,0.03781692509323903,0.039130434782608636,20
304,0.05271221387274461,0.053043478260869525,20
305,0.036956864726093386,0.035217391304347756,20
306,0.04993200179072105,0.050000000000000044,20
307,0.057859213074293425,0.058260869565217366,20
308,0.04152476605966737,0.041304347826086885,20
309,0.05031031679979164,0.049565217391304206,20
310,0.0448279151689725,0.04434782608695642,20
311,0.0405901951193654,0.039999999999999925,20
312,0.04663570397921568,0.04521739130434782,20
313,0.04347753065911314,0.04217391304347823,20
314,0.038484874528579016,0.03869565217391291,20
315,0.04730441608204766,0.047826086956521685,20
316,0.03714358876026852,0.03521739130434781,20
317,0.04307786003144681,0.04217391304347823,20
318,0.052754336862247064,0.053043478260869525,20
319,0.05333236553510051,0.051739130434782565,20
320,0.059917215156346404,0.05869565217391298,20
321,0.05088454538432735,0.049130434782608645,20
322,0.047102857699244216,0.04521739130434782,20
323,0.05487904615966488,0.05478260869565216,20
324,0.04347178274404406,0.041739130434782556,20
325,0.051932392594860655,0.050434782608695605,20
326,0.05093463903404616,0.04869565217391303,20
327,0.060931447895407775,0.05826086956521731,20
328,0.04415562722128186,0.04304347826086952,20
329,0.04625472383738599,0.04478260869565209,20
330,0.04838188491739431,0.04782608695652163,20
331,0.045358971084415556,0.04478260869565215,20
332,0.054848012901543786,0.05347826086956525,20
