permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
511,0.040984651265384864,0.039033816425120715,20
512,0.04501562795054259,0.04434782608695642,20
513,0.03381483213694225,0.03429951690821259,20
514,0.027783985010185364,0.02714975845410622,20
515,0.03373827572166965,0.03193236714975839,20
516,0.0426429837686545,0.04106280193236711,20
517,0.0434914223929469,0.043429951690821256,20
518,0.04578852323202881,0.04468599033816423,20
519,0.044158377190814724,0.04347826086956519,20
520,0.03701051433251623,0.03671497584541061,20
521,0.04565106490888732,0.04463768115942024,20
522,0.06156670288342225,0.060386473429951626,20
523,0.04320834604556023,0.04352657004830918,20
524,0.02732873466146768,0.027198067632850265,20
525,0.045820294580456,0.045458937198067595,20
526,0.0498287835924916,0.04922705314009662,20
527,0.03215513411415172,0.0310628019323671,20
528,0.039102006548370316,0.03729468599033808,20
529,0.04403982357833336,0.0426086956521739,20
530,0.04443532805776418,0.042463768115941936,20
531,0.03641151402441023,0.03555555555555556,20
532,0.050239078639210344,0.05028985507246375,20
533,0.031026676472441894,0.03014492753623188,20
534,0.03312158697122741,0.03338164251207726,20
535,0.04947719506780146,0.04681159420289854,20
536,0.045934801237259126,0.045942028985507144,20
537,0.0295062861280721,0.02884057971014492,20
538,0.03800203531719476,0.03714975845410623,20
539,0.05060732848884819,0.04942028985507235,20
540,0.034060154420180955,0.032415458937197994,20
541,0.05353417397597826,0.05251207729468593,20
542,0.02902245616837118,0.02922705314009655,20
543,0.04484884809316808,0.04304347826086957,20
544,0.040607690271652175,0.039661835748792285,20
545,0.04431790770182714,0.04367149758454103,20
546,0.042572893845363,0.040144927536231834,20
547,0.04167637509251565,0.04096618357487919,20
548,0.05663284127306584,0.05739130434782608,20
549,0.04034147674270894,0.040144927536231945,20
550,0.0550276805800915,0.054396135265700474,20
551,0.04972534936230327,0.049130434782608645,20
552,0.03623181869949388,0.03550724637681163,20
553,0.0480983496651754,0.04628019323671495,20
554,0.04998802629815524,0.050193236714975775,20
555,0.034800771129528396,0.03391304347826085,20
556,0.040454300587910774,0.0400966183574879,20
557,0.0335310366487338,0.029661835748792276,20
558,0.05582414390058987,0.05487922705314008,20
559,0.03723704491072749,0.03719806763285016,20
560,0.04690723564464144,0.04613526570048304,20
561,0.04343776816281436,0.042512077294685924,20
562,0.03524367537792372,0.035217391304347756,20
563,0.043883298954148664,0.0441062801932367,20
564,0.03531996825358852,0.0343961352657004,20
565,0.05048294501189138,0.049951690821256,20
566,0.026651868812273716,0.02647342995169083,20
567,0.025406777437587347,0.025072463768115894,20
568,0.037969146895238004,0.0352657004830918,20
569,0.03752379674204309,0.03782608695652173,20
570,0.038994569197391304,0.03739130434782606,20
571,0.023067582757153815,0.02270531400966186,20
572,0.04951658286318977,0.04748792270531399,20
573,0.038969444916723495,0.03801932367149752,20
574,0.03439932606077767,0.033333333333333215,20
575,0.05409341274110824,0.05352657004830913,20
576,0.04442731263131894,0.04299516908212564,20
577,0.042629207990609264,0.042946859903381596,20
578,0.04019319940431321,0.03917874396135268,20
579,0.04788113530250726,0.045845410628019334,20
580,0.038413800969269274,0.03917874396135257,20
581,0.03643424800708461,0.03652173913043477,20
582,0.049853979288559724,0.04922705314009662,20
583,0.04038522053525101,0.038260869565217404,20
584,0.04866954624036968,0.047101449275362306,20
585,0.0437494366536848,0.04323671497584536,20
586,0.04373713027676479,0.04270531400966188,20
587,0.0356945608146611,0.03545893719806753,20
588,0.02785910095380889,0.026956521739130435,20
589,0.029150105139008287,0.028550724637681102,20
590,0.045555312105229895,0.044734299516908216,20
591,0.03877864233506734,0.038937198067632794,20
592,0.03462744165159498,0.03463768115942023,20
593,0.047873141444505496,0.046908212560386464,20
594,0.03830240387161776,0.036521739130434716,20
595,0.042730020660737666,0.042077294685990196,20
596,0.040752597853328076,0.039613526570048296,20
597,0.04516985887973407,0.04734299516908208,20
598,0.03843416987163023,0.038888888888888806,20
599,0.04585921901389972,0.04314009661835744,20
600,0.0435207159501082,0.04420289855072462,20
601,0.04543394832243536,0.04463768115942024,20
602,0.03824183433514011,0.03898550724637673,20
603,0.036087827643652814,0.034782608695652084,20
604,0.03615330234178821,0.03487922705314006,20
605,0.04751069254604956,0.047342995169082136,20
606,0.0361485369927968,0.03618357487922702,20
607,0.047857565844283634,0.04826086956521741,20
608,0.03798932460402232,0.03734299516908213,20
609,0.03774390525469562,0.036328502415458874,20
610,0.04045739009578825,0.03898550724637673,20
611,0.050980618473868144,0.05024154589371976,20
612,0.0345982803288975,0.03236714975845412,20
613,0.03654466263519979,0.0352657004830918,20
614,0.04063437180585444,0.04217391304347817,20
615,0.048231202846354626,0.04681159420289854,20
616,0.046210968752381176,0.045942028985507255,20
617,0.04185012343657363,0.041642512077294636,20
618,0.046772576938417076,0.04550724637681153,20
619,0.0420228143298797,0.04048309178743953,20
620,0.03714581169992248,0.0371014492753623,20
621,0.03249560020195719,0.03212560386473423,20
622,0.03016933984715131,0.029758454106280197,20
623,0.03852987432511029,0.03782608695652173,20
624,0.03135525810314305,0.030193236714975757,20
